estimated_loc,complexity_score,timeline_days,team_size_required,domain_category,technical_risk_level,integration_count,seniority_required,regulatory_compliance,testing_coverage_pct,documentation_level,performance_tier,security_criticality,budget_pressure,maintainability_req,target_team_label,profit_margin_pct
1900,Low,62,2,Web,High,9,Junior,0,74.3,Minimal,Real-time,Low,Tight,Low,Hybrid,62.19
43192,High,165,9,Infrastructure,Critical,9,Mid,1,59.1,Minimal,Standard,Medium,Flexible,Medium,Human,30.5
7268,Medium,144,5,Infrastructure,High,3,Senior,0,92.6,Standard,Real-time,Medium,Moderate,Low,Hybrid,33.68
1097,Low,7,1,Security,Low,3,Mid,0,68.2,Comprehensive,Standard,Low,Flexible,Medium,AI,54.17
9591,Medium,92,4,Web,Critical,2,Mid,1,50.8,Standard,High,Medium,Flexible,High,Human,35.72
555,Low,21,2,Mobile,High,3,Architect,1,67.0,Standard,Real-time,Medium,Tight,Medium,Human,36.52
10885,Medium,78,6,Web,High,6,Mid,0,81.2,Minimal,High,High,Tight,High,Human,45.79
15812,Medium,98,4,Data,Medium,6,Mid,1,67.3,Standard,High,High,Moderate,Low,Hybrid,41.53
1849,Low,24,5,Infrastructure,High,6,Mid,1,50.9,Standard,Standard,Medium,Flexible,Medium,Human,45.16
13599,Medium,100,2,Data,High,8,Senior,1,89.1,Minimal,Standard,Medium,Flexible,Medium,Human,39.1
16641,Medium,85,6,Data,High,7,Junior,0,66.0,Standard,Real-time,High,Flexible,Medium,Human,42.98
7725,Medium,97,6,Web,High,7,Senior,0,45.1,Minimal,High,Low,Moderate,High,Hybrid,36.98
128055,High,147,8,Data,Medium,4,Senior,0,86.4,Standard,High,High,Flexible,Medium,Hybrid,24.94
34637,High,109,6,Data,High,4,Mid,1,57.9,Minimal,Real-time,High,Flexible,Low,Human,33.58
10671,Medium,114,2,Security,Medium,5,Senior,1,72.6,Minimal,Standard,Low,Tight,Medium,Hybrid,41.58
7130,Medium,81,6,Web,Low,2,Junior,0,56.9,Comprehensive,High,Critical,Moderate,Medium,Human,46.33
960,Low,7,1,Data,Low,2,Senior,1,73.8,Standard,High,Medium,Flexible,Medium,Hybrid,43.43
38687,High,148,6,Security,High,5,Senior,0,74.2,Standard,High,High,Moderate,Medium,Human,27.54
4224,Low,51,3,Web,Low,1,Mid,0,63.0,Comprehensive,Standard,Medium,Tight,Low,AI,55.59
11070,Medium,127,7,Web,Medium,3,Junior,0,52.6,Minimal,Standard,High,Flexible,High,Hybrid,50.42
56786,High,140,7,Infrastructure,Low,3,Junior,0,80.1,Standard,Standard,Medium,Moderate,Medium,Hybrid,46.07
16089,Medium,93,2,Data,Medium,3,Senior,0,69.1,Standard,Real-time,Critical,Tight,Medium,Human,34.46
2050,Low,12,1,Web,High,4,Architect,0,30.2,Comprehensive,High,High,Tight,Low,Human,35.82
31344,High,139,6,Infrastructure,Medium,7,Mid,0,72.4,Comprehensive,High,Low,Flexible,Low,Hybrid,36.93
875,Low,7,2,Web,Medium,5,Junior,0,39.9,Standard,High,Low,Moderate,Medium,AI,61.25
9874,Medium,91,5,Web,High,3,Junior,0,60.6,Minimal,Standard,Low,Moderate,Medium,Hybrid,53.74
12236,Medium,98,5,Data,High,3,Junior,1,66.5,Comprehensive,Real-time,High,Moderate,Medium,Human,39.44
49970,High,160,7,Web,Low,0,Mid,0,98.0,Comprehensive,Real-time,Low,Moderate,Medium,Human,36.56
1756,Low,42,1,Web,Low,2,Mid,0,79.7,Minimal,Standard,Medium,Flexible,High,AI,55.19
25173,Medium,99,7,Web,Low,0,Mid,0,66.2,Standard,High,Medium,Moderate,Low,Hybrid,44.78
45649,High,92,7,Infrastructure,High,12,Mid,0,65.3,Minimal,High,High,Moderate,Low,Human,35.62
6925,Medium,110,8,Web,Critical,10,Junior,0,63.8,Comprehensive,High,Medium,Moderate,Medium,Human,42.01
52734,High,160,8,Infrastructure,Medium,2,Mid,0,76.1,Standard,Standard,Low,Moderate,Medium,Hybrid,39.68
1212,Low,22,1,Mobile,Low,4,Senior,1,44.3,Standard,Standard,Low,Tight,High,AI,50.04
51238,High,144,8,Data,Medium,7,Junior,0,80.0,Standard,High,Medium,Flexible,High,Hybrid,42.8
84714,High,156,6,Data,Critical,8,Senior,1,78.6,Standard,Standard,Medium,Tight,Low,Human,29.52
3093,Low,52,1,Infrastructure,Medium,2,Senior,1,56.8,Comprehensive,High,Critical,Moderate,Medium,Human,37.22
8183,Medium,108,7,Web,High,3,Junior,0,66.5,Comprehensive,Standard,Medium,Tight,Medium,AI,51.81
123222,High,152,7,Mobile,Low,1,Senior,0,60.3,Comprehensive,Real-time,Critical,Moderate,Medium,Human,27.0
23306,High,136,6,Data,Low,0,Senior,0,98.0,Standard,Real-time,Low,Flexible,High,Hybrid,28.74
2977,Low,47,2,Security,Critical,6,Junior,1,37.2,Minimal,Standard,Medium,Moderate,Low,Human,60.29
4558,Medium,88,4,Security,Low,1,Mid,0,67.1,Comprehensive,Standard,Low,Flexible,Medium,Hybrid,45.73
11612,Medium,77,5,Data,High,5,Mid,1,79.9,Standard,Real-time,Low,Moderate,Low,Human,40.62
4460,Low,7,1,Web,Medium,4,Mid,0,63.8,Comprehensive,Standard,Medium,Flexible,Low,AI,50.57
12185,Medium,68,5,Data,High,9,Mid,1,79.1,Comprehensive,Standard,Medium,Moderate,Medium,Human,38.73
14049,Medium,68,6,Data,High,5,Mid,0,64.9,Minimal,Real-time,Medium,Moderate,Low,Hybrid,45.76
7765,Medium,125,3,Data,Low,2,Senior,1,84.1,Comprehensive,High,Critical,Moderate,Medium,Human,30.89
60214,High,168,7,Security,Medium,3,Senior,1,59.1,Comprehensive,High,Low,Moderate,Medium,Human,29.09
129854,High,135,6,Data,Low,2,Mid,0,71.9,Standard,Standard,High,Moderate,High,Human,38.57
34494,High,151,6,Infrastructure,High,6,Mid,0,94.6,Minimal,High,Low,Flexible,Low,Hybrid,39.26
1336,Low,46,1,Infrastructure,Medium,2,Senior,1,51.6,Standard,Standard,Low,Flexible,Low,Hybrid,44.48
1090,Low,32,2,Data,High,6,Senior,1,39.9,Comprehensive,High,Medium,Tight,Medium,Human,40.98
4506,Low,79,2,Data,Low,1,Senior,1,62.6,Standard,Standard,Low,Moderate,High,Hybrid,46.84
2449,Low,20,1,Mobile,High,4,Mid,0,46.7,Comprehensive,Standard,Medium,Moderate,High,Hybrid,49.87
2347,Low,26,1,Data,Low,2,Senior,0,75.1,Standard,Standard,High,Tight,Medium,AI,47.97
35533,High,179,9,Data,Medium,1,Senior,0,73.5,Comprehensive,High,High,Flexible,Low,Hybrid,27.09
3256,Low,7,3,Web,High,8,Mid,0,60.5,Minimal,Standard,Low,Tight,High,Hybrid,56.67
12268,Medium,97,2,Mobile,High,6,Architect,0,67.5,Standard,Real-time,Low,Flexible,High,Hybrid,27.07
9091,Medium,97,5,Data,Medium,4,Senior,1,68.5,Standard,High,Medium,Tight,High,Hybrid,35.44
1277,Low,66,1,Data,Medium,6,Senior,0,27.3,Standard,Standard,Medium,Moderate,Low,AI,49.53
18513,Medium,27,5,Web,Low,2,Mid,1,64.9,Standard,High,Medium,Tight,High,Hybrid,45.49
38103,High,172,5,Web,Medium,2,Senior,0,75.6,Standard,Standard,Medium,Moderate,High,Hybrid,30.15
2594,Low,47,1,Security,Low,1,Mid,1,53.1,Minimal,High,Low,Flexible,Medium,Hybrid,52.98
166941,High,161,7,Security,Low,1,Senior,0,77.0,Comprehensive,Standard,Critical,Tight,Low,Human,32.81
12721,Medium,93,6,Web,High,5,Senior,1,91.5,Minimal,Real-time,High,Flexible,Medium,Human,24.35
37383,Medium,94,3,Data,Low,4,Senior,0,60.3,Minimal,Real-time,High,Flexible,Medium,Hybrid,36.61
1626,Low,35,1,Infrastructure,Medium,3,Senior,0,57.2,Standard,Standard,Low,Moderate,Medium,AI,50.0
7998,Medium,86,2,Data,Medium,4,Mid,0,60.8,Standard,High,High,Tight,Medium,Hybrid,47.8
16596,Medium,60,3,Infrastructure,High,9,Senior,1,72.2,Minimal,Standard,Medium,Tight,Medium,Human,40.32
6329,Medium,112,4,Data,High,10,Senior,1,78.5,Comprehensive,High,High,Flexible,Medium,Human,26.07
14906,Medium,99,5,Mobile,Medium,5,Junior,0,61.4,Comprehensive,Real-time,Low,Flexible,Low,Hybrid,46.0
12354,Medium,92,5,Web,Medium,3,Mid,0,46.9,Minimal,Standard,High,Moderate,High,AI,43.07
905,Low,7,1,Web,Low,1,Junior,1,64.2,Minimal,Real-time,Critical,Moderate,Medium,Human,56.82
641,Low,43,1,Infrastructure,High,7,Mid,0,34.0,Standard,Standard,Medium,Flexible,Medium,Hybrid,51.52
1809,Low,28,3,Infrastructure,Medium,0,Junior,0,49.1,Standard,Real-time,High,Moderate,High,Hybrid,56.21
11069,Medium,80,5,Web,Medium,3,Mid,0,60.3,Minimal,High,Low,Flexible,Medium,Hybrid,44.66
500,Low,40,1,Security,Low,1,Senior,1,61.2,Standard,High,Low,Moderate,High,Hybrid,46.89
11438,Medium,55,4,Data,Low,3,Architect,1,55.3,Standard,Standard,Low,Moderate,High,Hybrid,30.46
33394,High,165,11,Infrastructure,High,5,Mid,1,67.0,Minimal,High,Medium,Tight,Medium,Human,34.25
9174,Medium,68,4,Mobile,High,3,Mid,1,72.5,Standard,High,Low,Moderate,Low,Human,42.98
2081,Low,7,5,Infrastructure,Medium,6,Junior,1,38.9,Standard,Standard,High,Moderate,Low,Hybrid,56.1
19953,Medium,109,3,Security,High,9,Senior,1,84.6,Minimal,Standard,High,Tight,Low,Human,40.52
40190,High,189,9,Infrastructure,Low,1,Senior,0,70.7,Comprehensive,Standard,Low,Tight,Low,Hybrid,36.24
2889,Low,29,1,Data,High,12,Junior,0,45.4,Standard,Standard,High,Flexible,High,Human,51.71
1454,Low,31,1,Data,High,6,Mid,1,27.3,Minimal,Real-time,High,Tight,Low,Human,49.39
50919,High,166,5,Infrastructure,Medium,6,Mid,0,72.4,Comprehensive,High,Medium,Moderate,High,Hybrid,34.26
30542,High,135,8,Mobile,Medium,4,Senior,0,50.5,Comprehensive,High,High,Flexible,Medium,Hybrid,28.35
17557,Medium,84,4,Data,Low,1,Senior,0,54.6,Minimal,Real-time,Medium,Tight,Medium,Hybrid,44.39
12061,Medium,107,4,Web,High,7,Senior,0,64.5,Minimal,Real-time,Low,Flexible,Low,Hybrid,38.52
3309,Low,18,2,Security,High,8,Mid,1,55.8,Minimal,Standard,Critical,Tight,Medium,Human,48.85
11306,Medium,104,7,Infrastructure,Medium,6,Mid,0,45.8,Minimal,Real-time,Low,Moderate,Medium,Hybrid,45.87
6419,Medium,92,6,Infrastructure,High,9,Mid,0,59.8,Standard,High,Medium,Tight,Medium,Hybrid,45.6
38314,High,131,9,Data,Medium,4,Junior,1,98.0,Standard,Standard,Low,Moderate,High,Hybrid,40.91
14506,Medium,62,6,Web,High,4,Senior,0,50.2,Standard,High,Low,Moderate,Medium,Hybrid,37.07
45494,High,166,9,Web,Low,0,Senior,0,62.4,Standard,High,Low,Moderate,Low,Hybrid,33.89
111885,High,162,11,Web,Medium,7,Mid,1,69.1,Standard,Real-time,Low,Tight,Low,Human,34.96
5960,Medium,97,4,Web,High,5,Senior,0,81.3,Comprehensive,Standard,Medium,Flexible,Medium,Hybrid,33.24
18845,Medium,91,3,Security,High,7,Senior,0,74.6,Standard,High,High,Moderate,Medium,Human,33.3
7634,Medium,93,4,Data,Medium,2,Mid,1,78.5,Comprehensive,Standard,High,Flexible,Medium,Hybrid,37.54
49796,High,140,10,Data,Low,1,Junior,1,70.2,Standard,High,Low,Flexible,High,Hybrid,40.29
2918,Low,31,1,Security,Medium,3,Architect,1,65.7,Standard,Standard,Low,Moderate,Medium,Hybrid,38.53
1436,Low,23,4,Security,High,10,Mid,1,25.4,Minimal,Standard,Low,Flexible,High,Human,47.02
37803,High,152,7,Data,High,7,Junior,0,61.8,Standard,Standard,Medium,Moderate,Medium,Hybrid,44.29
94401,High,103,7,Web,Medium,4,Mid,0,57.4,Comprehensive,Real-time,Medium,Moderate,Medium,Human,33.43
4651,Low,7,1,Web,Medium,4,Junior,0,56.0,Comprehensive,Standard,High,Moderate,Medium,Hybrid,56.53
21540,Medium,69,4,Security,Low,3,Senior,1,47.8,Comprehensive,High,Medium,Tight,High,Hybrid,38.33
1863,Low,22,3,Security,Low,0,Senior,0,45.3,Standard,High,Low,Flexible,Medium,Hybrid,44.34
22598,Medium,107,4,Mobile,Low,2,Senior,0,44.8,Standard,Standard,Low,Moderate,High,Hybrid,45.78
12499,Medium,89,6,Data,Medium,7,Mid,0,72.6,Standard,Standard,Medium,Moderate,Low,Hybrid,45.65
2208,Low,44,3,Data,Medium,3,Mid,0,46.1,Standard,Standard,Low,Tight,High,AI,56.95
3977,Low,21,1,Mobile,High,8,Junior,0,67.2,Standard,Real-time,Low,Moderate,Low,Hybrid,56.33
40981,High,160,10,Data,High,6,Architect,1,58.7,Standard,High,High,Flexible,Low,Human,16.83
1699,Low,48,1,Infrastructure,Low,2,Junior,0,39.8,Standard,Standard,Critical,Moderate,Low,Human,60.37
1127,Low,21,2,Web,Medium,4,Junior,0,34.0,Standard,Standard,High,Tight,High,Hybrid,60.11
2693,Low,43,4,Mobile,Critical,16,Senior,1,43.0,Standard,High,Low,Moderate,Medium,Human,37.68
3992,Low,22,1,Web,Critical,9,Architect,0,43.4,Standard,High,Medium,Moderate,Medium,Human,34.83
8687,Medium,60,4,Data,Critical,8,Senior,1,41.5,Standard,Standard,Low,Moderate,Medium,Human,36.03
41137,High,156,7,Web,Medium,3,Senior,1,66.9,Comprehensive,High,Low,Tight,High,Hybrid,29.6
556,Low,22,1,Data,Critical,5,Senior,1,60.2,Standard,Standard,Medium,Tight,High,Human,42.54
13210,High,88,9,Mobile,Low,1,Mid,0,70.5,Standard,Standard,High,Flexible,Medium,Hybrid,35.33
1046,Low,60,2,Web,High,4,Junior,0,33.4,Minimal,Standard,High,Flexible,Medium,Human,55.93
12749,Medium,55,4,Mobile,Medium,3,Mid,1,63.1,Minimal,Standard,Medium,Moderate,Low,Hybrid,45.74
9934,Medium,65,3,Infrastructure,High,8,Architect,0,65.8,Standard,High,High,Flexible,Medium,Human,26.48
1041,Low,58,1,Security,Low,0,Mid,1,70.7,Comprehensive,High,Medium,Moderate,Medium,Hybrid,50.19
24666,Medium,81,3,Security,Low,4,Junior,1,56.6,Standard,Standard,Medium,Flexible,High,Hybrid,49.79
2847,Low,25,1,Mobile,Critical,6,Mid,0,61.8,Standard,High,High,Tight,Medium,Human,49.29
102940,High,112,8,Infrastructure,Low,4,Senior,0,68.3,Comprehensive,High,High,Moderate,Medium,Human,28.73
12207,Medium,103,6,Infrastructure,Medium,2,Architect,0,72.1,Standard,Standard,High,Moderate,Low,Hybrid,31.03
24160,High,137,7,Data,Medium,6,Mid,0,76.9,Standard,Standard,Medium,Moderate,Medium,Hybrid,36.35
10964,Medium,123,5,Mobile,Medium,4,Junior,0,81.5,Standard,High,Medium,Moderate,Low,Hybrid,51.19
3293,Low,40,4,Security,Low,1,Junior,1,68.5,Minimal,High,Low,Flexible,Low,Hybrid,57.46
14942,Medium,108,1,Infrastructure,High,9,Senior,0,51.3,Comprehensive,High,Medium,Flexible,High,Hybrid,30.73
48957,High,129,5,Security,Low,2,Senior,0,93.6,Minimal,High,High,Flexible,Medium,Hybrid,30.05
61636,High,156,8,Data,Medium,2,Senior,1,92.5,Standard,Standard,High,Flexible,Low,Human,25.38
59605,High,148,8,Data,Low,2,Architect,1,66.9,Minimal,Real-time,High,Moderate,Medium,Human,19.76
6018,Medium,106,3,Security,Medium,1,Mid,0,58.4,Standard,Standard,Medium,Tight,High,Hybrid,48.02
13341,Medium,95,5,Infrastructure,Critical,7,Mid,1,67.5,Minimal,Real-time,Medium,Moderate,Medium,Human,40.37
16353,Medium,91,4,Web,Medium,6,Junior,0,51.4,Comprehensive,High,Low,Moderate,Medium,Hybrid,48.81
75830,High,166,9,Security,Critical,7,Senior,1,70.5,Comprehensive,High,Medium,Flexible,Low,Human,19.31
2128,Low,43,1,Data,Low,2,Senior,0,56.7,Comprehensive,Standard,Low,Moderate,High,AI,45.88
27610,Medium,90,7,Data,Medium,1,Senior,1,50.9,Minimal,High,Low,Moderate,High,Hybrid,35.56
7403,Medium,87,5,Web,High,6,Architect,1,82.0,Standard,Real-time,Low,Tight,Medium,Human,28.16
2798,Low,7,2,Infrastructure,High,6,Mid,0,48.3,Standard,Standard,High,Moderate,Medium,Human,48.39
1815,Low,37,1,Security,Low,1,Senior,0,51.3,Minimal,Real-time,Low,Moderate,Medium,AI,50.81
20178,High,135,7,Data,Medium,4,Mid,0,74.8,Standard,Standard,High,Flexible,Low,Hybrid,38.16
2800,Low,20,1,Mobile,Medium,5,Senior,0,75.0,Comprehensive,High,Medium,Moderate,Medium,AI,44.09
22834,Medium,83,5,Data,Low,3,Mid,1,65.9,Comprehensive,Standard,Low,Flexible,Low,Hybrid,43.98
48987,High,151,7,Security,Medium,4,Architect,0,54.3,Standard,High,High,Flexible,Low,Human,19.48
40249,High,171,7,Infrastructure,Critical,3,Junior,0,56.5,Standard,Real-time,Medium,Flexible,Medium,Human,37.13
2192,Low,60,1,Data,Low,3,Mid,0,46.3,Minimal,High,Medium,Moderate,Medium,AI,57.03
43167,High,124,8,Security,Medium,3,Mid,0,53.3,Comprehensive,Real-time,High,Moderate,Medium,Hybrid,33.87
20580,Medium,92,3,Data,Medium,3,Mid,0,48.3,Standard,Real-time,High,Moderate,High,Hybrid,44.15
42464,High,156,10,Web,High,5,Junior,0,63.0,Standard,Real-time,Medium,Moderate,Medium,Hybrid,41.35
1459,Low,54,2,Data,Medium,4,Mid,0,53.1,Comprehensive,High,Low,Flexible,Medium,AI,50.53
26608,High,113,6,Infrastructure,Low,2,Mid,0,67.3,Standard,Standard,Critical,Tight,High,Human,43.89
8252,Medium,74,6,Infrastructure,Medium,4,Junior,0,76.9,Standard,Standard,Medium,Flexible,Medium,Hybrid,49.41
2468,Low,41,4,Infrastructure,Medium,4,Senior,0,61.8,Comprehensive,High,Medium,Flexible,Medium,AI,38.95
13933,Medium,85,6,Web,Low,1,Senior,0,75.3,Standard,High,Medium,Moderate,Low,Hybrid,40.0
8012,Medium,82,4,Security,High,4,Senior,1,26.0,Standard,High,Critical,Flexible,High,Human,26.6
19199,Medium,103,2,Security,Critical,9,Mid,1,64.3,Minimal,High,Medium,Moderate,High,Hybrid,39.9
17430,Medium,86,3,Security,Critical,8,Senior,0,77.5,Minimal,High,High,Moderate,Low,Human,33.12
10916,Medium,83,6,Security,Critical,8,Junior,1,59.7,Standard,Standard,Low,Moderate,Medium,Human,46.31
23273,High,149,7,Security,High,3,Senior,1,75.5,Standard,Standard,Low,Tight,High,Human,30.98
5838,Low,34,3,Security,High,3,Senior,1,98.0,Standard,Standard,Medium,Tight,Low,Human,44.8
935,Low,34,2,Web,Low,3,Senior,0,37.9,Minimal,Standard,Medium,Flexible,Medium,AI,50.43
1719,Low,31,1,Data,Medium,3,Mid,0,46.5,Standard,High,Medium,Tight,Low,AI,54.81
54452,High,160,4,Security,High,9,Junior,1,97.6,Comprehensive,High,Critical,Moderate,High,Human,36.49
1785,Low,47,2,Web,Medium,3,Senior,0,74.5,Standard,Standard,Low,Flexible,Medium,AI,45.62
7451,Medium,78,5,Web,Medium,2,Mid,1,43.3,Comprehensive,High,Critical,Moderate,High,Human,36.38
1936,Low,36,2,Data,High,7,Junior,0,49.7,Standard,Real-time,High,Flexible,Low,Human,49.62
102851,High,132,8,Mobile,High,6,Architect,1,76.7,Standard,Real-time,Low,Moderate,High,Human,16.61
100326,High,150,9,Data,High,7,Senior,1,98.0,Standard,Real-time,Medium,Tight,Medium,Human,26.38
3639,Medium,86,3,Security,High,5,Senior,1,74.4,Standard,High,Critical,Moderate,Low,Human,32.0
29709,High,129,7,Infrastructure,Critical,9,Senior,0,74.9,Comprehensive,Real-time,Medium,Tight,High,Human,25.3
5736,Medium,77,2,Mobile,Medium,2,Mid,0,57.8,Standard,Standard,Low,Flexible,High,Hybrid,46.53
3435,Low,19,1,Web,Medium,4,Mid,1,63.9,Standard,Real-time,Low,Flexible,High,Hybrid,43.35
3493,Low,13,1,Web,High,8,Senior,0,44.1,Standard,Real-time,High,Tight,Low,Hybrid,43.89
11173,Medium,61,5,Data,High,5,Senior,0,69.8,Standard,High,Critical,Moderate,Low,Human,35.53
4082,Low,11,1,Data,Medium,3,Senior,0,61.9,Standard,Real-time,Medium,Tight,Low,AI,48.9
50184,High,132,8,Data,Low,1,Architect,0,74.0,Standard,High,Medium,Flexible,High,Human,21.89
1033,Low,38,2,Infrastructure,Medium,4,Mid,0,57.9,Standard,Real-time,Critical,Moderate,High,Human,48.53
3562,Low,41,3,Infrastructure,Medium,1,Mid,0,77.5,Standard,High,Medium,Tight,Medium,AI,51.34
13968,Medium,100,5,Infrastructure,High,6,Senior,0,66.9,Comprehensive,Standard,Medium,Flexible,Medium,Human,31.19
13362,Medium,101,4,Infrastructure,Low,1,Architect,0,84.0,Comprehensive,Standard,Critical,Flexible,Low,Human,30.28
2474,Low,8,2,Security,High,7,Senior,1,76.2,Standard,Standard,Low,Tight,High,Human,45.01
62837,High,141,9,Security,Critical,6,Mid,1,71.8,Standard,High,Medium,Flexible,Low,Human,27.95
3340,Low,7,1,Web,Medium,2,Mid,0,42.5,Standard,High,High,Flexible,Medium,Hybrid,48.45
23695,Medium,59,6,Infrastructure,Critical,7,Mid,0,74.7,Minimal,High,High,Flexible,High,Human,35.22
1961,Low,25,2,Security,Medium,4,Junior,0,60.2,Standard,Standard,High,Tight,Medium,Hybrid,61.1
35811,Medium,111,4,Web,Low,1,Junior,0,58.8,Comprehensive,High,High,Moderate,Medium,Hybrid,49.8
2246,Low,7,2,Data,Medium,4,Senior,0,64.9,Comprehensive,High,High,Moderate,Medium,Hybrid,41.19
12312,Medium,97,2,Security,Medium,8,Junior,1,62.7,Standard,High,High,Tight,High,Hybrid,47.22
1272,Low,65,3,Infrastructure,High,4,Senior,0,61.8,Minimal,Standard,Critical,Tight,Medium,Human,46.05
7282,Medium,97,7,Data,High,3,Mid,0,50.8,Comprehensive,Standard,High,Tight,Medium,Human,41.91
1380,Low,33,2,Web,Low,3,Junior,0,55.5,Comprehensive,Real-time,Critical,Moderate,Medium,Human,52.09
10292,Medium,70,4,Web,Medium,6,Mid,0,77.6,Standard,Standard,High,Tight,Medium,Hybrid,48.52
1928,Low,24,1,Security,Critical,9,Senior,0,55.1,Standard,Standard,Medium,Tight,Medium,Human,49.1
17002,Medium,87,2,Security,Medium,5,Junior,0,53.4,Minimal,High,Critical,Moderate,High,Human,53.15
106019,High,172,7,Web,Low,4,Architect,0,79.3,Standard,Standard,Low,Flexible,Medium,Human,26.96
122869,High,191,8,Data,High,11,Senior,1,76.9,Standard,Real-time,Low,Moderate,Low,Human,25.23
1350,Low,25,2,Web,Medium,2,Mid,0,74.9,Comprehensive,Standard,Medium,Flexible,Medium,AI,48.49
9447,Medium,113,4,Security,High,4,Mid,1,80.1,Minimal,Standard,Medium,Tight,Medium,Human,46.39
14828,Medium,95,4,Mobile,High,4,Senior,1,66.9,Standard,Standard,Low,Moderate,Medium,Hybrid,35.86
19558,Medium,88,3,Web,Medium,6,Mid,0,45.1,Standard,Real-time,Medium,Flexible,Medium,Hybrid,43.48
2425,Low,19,2,Web,Medium,3,Mid,0,43.2,Standard,Real-time,Medium,Tight,Low,AI,51.16
5557,Low,7,2,Data,High,5,Senior,1,53.2,Standard,Standard,High,Moderate,High,Human,38.43
136506,High,179,9,Web,Medium,1,Mid,0,63.7,Minimal,Standard,Low,Moderate,Low,Human,44.01
36734,High,168,5,Web,Low,5,Senior,0,74.9,Minimal,Standard,High,Flexible,Medium,Hybrid,31.51
2203,Low,32,1,Data,Medium,5,Mid,0,51.1,Standard,High,Medium,Moderate,High,AI,50.95
80101,High,177,6,Web,Medium,6,Senior,1,78.2,Minimal,Standard,High,Flexible,Medium,Human,27.99
19698,High,158,5,Web,High,9,Senior,0,64.3,Standard,High,High,Tight,Low,Hybrid,34.4
12930,Medium,84,5,Infrastructure,Medium,13,Junior,0,60.1,Minimal,Standard,High,Flexible,Low,Hybrid,48.58
37554,High,126,7,Mobile,High,5,Senior,1,78.4,Minimal,Real-time,High,Flexible,Medium,Human,20.28
11238,Medium,101,4,Security,High,5,Senior,0,67.1,Comprehensive,Real-time,Medium,Moderate,Low,Hybrid,32.41
11446,Medium,85,5,Infrastructure,Low,3,Junior,0,45.5,Standard,High,Medium,Moderate,High,Hybrid,50.03
70806,High,177,7,Web,High,4,Mid,1,83.9,Minimal,High,Low,Tight,Low,Human,37.31
998,Low,7,2,Mobile,Critical,10,Mid,0,43.9,Minimal,High,High,Tight,Medium,Human,49.89
17048,Medium,116,4,Infrastructure,High,3,Mid,1,79.3,Standard,Standard,Critical,Flexible,High,Hybrid,36.18
23306,High,123,6,Data,High,3,Junior,1,42.1,Standard,Standard,High,Flexible,Medium,Human,38.18
24384,Medium,90,6,Web,High,2,Mid,0,71.5,Standard,Standard,Medium,Tight,Medium,Hybrid,45.9
28114,High,156,8,Security,High,7,Senior,1,54.6,Comprehensive,High,Medium,Tight,Medium,Human,25.2
41989,High,165,9,Web,Low,5,Junior,0,80.3,Standard,Standard,Medium,Moderate,Medium,Hybrid,47.01
5699,Medium,104,5,Data,Critical,8,Mid,1,63.2,Standard,High,Critical,Tight,Low,Human,40.91
9000,Medium,106,6,Infrastructure,Medium,4,Mid,0,83.5,Comprehensive,Standard,Low,Flexible,Medium,Hybrid,40.7
15111,Medium,82,3,Infrastructure,High,4,Senior,0,57.3,Standard,High,Low,Moderate,Low,Hybrid,42.36
9346,Medium,88,3,Web,Low,1,Junior,0,91.9,Standard,Real-time,Low,Moderate,Medium,Hybrid,53.94
18726,Medium,115,4,Infrastructure,Critical,13,Mid,0,72.7,Standard,High,Medium,Tight,Low,Human,43.68
1115,Low,43,1,Web,High,6,Senior,1,79.2,Standard,High,Medium,Moderate,Low,Human,41.92
28815,Medium,45,4,Infrastructure,Medium,6,Mid,1,39.9,Standard,Real-time,Low,Moderate,High,Hybrid,41.75
3304,Low,23,1,Web,Medium,2,Senior,0,35.0,Minimal,Real-time,Low,Tight,Medium,AI,53.72
17030,High,154,8,Data,High,6,Senior,0,68.3,Standard,Standard,High,Moderate,Medium,Human,29.64
6766,Medium,113,9,Mobile,Medium,4,Senior,1,49.6,Standard,Standard,Low,Flexible,Low,Hybrid,35.81
145158,High,158,9,Infrastructure,Critical,7,Senior,0,96.4,Minimal,High,High,Moderate,High,Human,23.74
9287,Medium,91,4,Infrastructure,High,7,Mid,0,71.8,Standard,High,High,Tight,Low,Human,45.83
79127,High,168,10,Security,Low,2,Architect,1,35.2,Standard,Standard,High,Tight,Low,Human,24.36
43400,High,187,7,Infrastructure,Medium,3,Junior,0,51.4,Comprehensive,High,Medium,Flexible,Low,Hybrid,41.61
4140,Low,39,1,Infrastructure,Medium,4,Architect,1,57.6,Standard,Standard,High,Moderate,Medium,Hybrid,39.79
11586,Medium,73,5,Web,Medium,5,Mid,0,64.5,Minimal,High,Medium,Moderate,Low,Hybrid,43.48
1207,Low,7,2,Data,High,5,Mid,1,40.8,Standard,Standard,Medium,Tight,Medium,Human,52.05
8782,Medium,115,3,Data,High,4,Senior,1,51.8,Comprehensive,High,Medium,Tight,Low,Human,36.4
21765,Medium,82,6,Data,Critical,14,Mid,1,60.5,Comprehensive,Standard,Medium,Flexible,Medium,Human,33.02
9502,Medium,84,3,Security,Low,1,Senior,1,58.4,Standard,High,Critical,Moderate,High,Human,33.26
9778,Medium,89,5,Web,High,7,Mid,1,66.8,Standard,High,High,Tight,Medium,Human,40.34
