estimated_loc,complexity_score,timeline_days,team_size_required,domain_category,technical_risk_level,integration_count,seniority_required,regulatory_compliance,testing_coverage_pct,documentation_level,performance_tier,security_criticality,budget_pressure,maintainability_req,project_type,codebase_age_years,existing_test_coverage_pct,dependency_count,last_refactor_years,incident_rate_monthly,code_duplication_pct,technical_debt_score,documentation_quality,language_modernity,team_familiarity,target_team_label,profit_margin_pct
1003,Low,24,5,Data,Medium,3,Mid,1,80.4,Standard,Real-time,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,45.13
1033,Low,38,2,Infrastructure,Medium,4,Mid,0,57.9,Standard,Real-time,Critical,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,48.53
70620,Medium,124,6,Web,High,13,Architect,0,70.4,Standard,High,High,Flexible,Low,1,8,57.6,93,3,0.11,29.9,Medium,Minimal,Modern,Medium,Hybrid,15.69
210084,High,155,5,Web,Critical,9,Senior,0,33.2,Minimal,Standard,Low,Moderate,High,1,3,34.1,92,5,7.32,20.8,Medium,Minimal,Modern,Low,Human,23.32
1890,Low,49,2,Web,Critical,8,Junior,1,43.1,Comprehensive,Real-time,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,49.24
149265,Medium,110,6,Data,Critical,16,Senior,0,7.0,Minimal,High,Critical,Tight,High,1,9,65.7,65,0,10.75,16.4,Low,Standard,Dated,Medium,Human,24.59
4322,Low,7,1,Data,Medium,1,Senior,0,52.0,Standard,High,Low,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,45.62
32360,Medium,134,5,Data,Critical,14,Mid,1,24.0,Standard,High,Low,Tight,Medium,1,12,35.2,92,5,6.58,17.7,High,Standard,Modern,Medium,Human,32.96
30176,Medium,84,1,Data,Medium,8,Mid,0,83.1,Comprehensive,High,Low,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,49.39
133678,High,181,7,Infrastructure,High,9,Senior,0,90.0,Standard,High,Medium,Moderate,Medium,1,15,50.3,35,0,5.04,4.2,Low,Good,Dated,High,Hybrid,24.71
50919,High,166,5,Infrastructure,Medium,6,Mid,0,72.4,Comprehensive,High,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,34.26
128055,High,147,8,Data,Medium,4,Senior,0,86.4,Standard,High,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,24.94
2081,Low,7,5,Infrastructure,Medium,6,Junior,1,38.9,Standard,Standard,High,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,56.1
17734,Low,46,4,Security,Critical,17,Architect,1,26.6,Standard,Real-time,Medium,Flexible,Medium,1,9,67.1,180,4,2.29,16.5,Low,Poor,Legacy,High,Human,20.35
5659,Medium,64,6,Mobile,Low,2,Junior,1,89.3,Minimal,Real-time,High,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,49.35
20606,Medium,121,1,Infrastructure,Medium,5,Senior,0,50.2,Minimal,High,Medium,Tight,High,1,1,56.3,62,3,1.71,12.0,Low,Standard,Dated,High,Hybrid,39.16
8991,Medium,85,3,Web,Low,1,Senior,0,67.7,Standard,Standard,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,45.96
20520,Low,69,2,Web,High,7,Senior,0,54.6,Comprehensive,Real-time,Critical,Tight,Medium,1,4,70.0,49,2,1.86,13.1,Low,Good,Dated,Medium,Human,34.53
32916,Medium,74,4,Data,High,8,Mid,0,53.3,Minimal,Real-time,High,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,38.64
181328,Medium,144,8,Security,Medium,14,Mid,0,58.2,Standard,Real-time,Critical,Moderate,High,1,12,48.9,96,6,2.14,44.7,High,Standard,Modern,Medium,Human,22.99
79823,Medium,118,8,Web,High,12,Senior,0,6.9,Standard,High,Medium,Tight,Medium,1,18,41.4,92,4,14.22,34.0,Critical,Poor,Modern,Unfamiliar,Human,19.86
4082,Low,11,1,Data,Medium,3,Senior,0,61.9,Standard,Real-time,Medium,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,48.9
33004,High,152,7,Data,Low,5,Senior,0,52.9,Minimal,Standard,Critical,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,35.18
220673,High,161,9,Data,High,15,Architect,1,49.3,Standard,Real-time,Low,Tight,High,1,18,38.1,90,4,0.16,25.0,Medium,Minimal,Dated,Medium,Human,10.23
33583,Medium,92,8,Data,Medium,10,Senior,1,65.7,Minimal,Standard,Medium,Tight,Low,1,18,55.0,197,8,11.98,51.1,Critical,Minimal,Dated,Medium,Human,21.91
1041,Low,58,1,Security,Low,0,Mid,1,70.7,Comprehensive,High,Medium,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,50.19
31344,High,139,6,Infrastructure,Medium,7,Mid,0,72.4,Comprehensive,High,Low,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,36.93
14049,Medium,68,6,Data,High,5,Mid,0,64.9,Minimal,Real-time,Medium,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,45.76
44022,Medium,107,5,Infrastructure,High,12,Senior,1,32.1,Standard,Standard,Low,Tight,Medium,1,10,69.9,224,5,9.93,36.2,Medium,Poor,Dated,High,Human,24.8
8687,Medium,60,4,Data,Critical,8,Senior,1,41.5,Standard,Standard,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,36.03
41454,High,165,8,Infrastructure,Medium,4,Mid,1,59.7,Standard,Standard,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,32.21
51840,Medium,99,8,Infrastructure,Medium,9,Mid,1,37.7,Standard,Real-time,High,Moderate,Medium,1,3,60.9,29,1,1.36,4.2,Low,Minimal,Modern,High,Hybrid,34.92
19897,Low,33,2,Security,High,7,Senior,1,23.1,Standard,Standard,Medium,Moderate,High,1,18,30.5,110,6,2.93,28.3,High,Minimal,Dated,High,Human,31.67
97607,High,131,8,Mobile,Medium,4,Senior,1,40.9,Standard,Standard,Low,Flexible,High,1,20,15.6,280,7,4.63,43.0,Critical,Good,Dated,High,Human,13.54
8786,Medium,108,3,Mobile,High,7,Architect,1,52.9,Standard,Standard,High,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,29.98
12119,Medium,93,5,Security,High,3,Senior,0,52.7,Standard,High,High,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,36.32
93420,High,222,8,Infrastructure,High,8,Mid,1,77.3,Minimal,High,Low,Tight,Medium,1,21,23.9,51,8,13.12,42.3,Critical,Minimal,Dated,Low,Human,18.14
41605,High,135,11,Infrastructure,Medium,2,Junior,0,60.0,Standard,Standard,High,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,45.69
1334,Low,43,1,Web,Medium,1,Senior,0,74.5,Comprehensive,Real-time,Medium,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,40.16
41065,High,152,9,Infrastructure,High,9,Senior,1,96.4,Standard,High,High,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,27.09
8043,Low,58,3,Infrastructure,Medium,3,Architect,0,5.0,Standard,Real-time,High,Tight,High,1,12,44.7,44,5,3.75,33.0,High,Minimal,Dated,Low,Human,24.02
13784,Medium,80,5,Security,Medium,2,Senior,1,64.1,Standard,Standard,Medium,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,38.59
22008,High,113,7,Infrastructure,High,3,Junior,0,77.4,Minimal,Standard,Low,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,51.41
11738,Medium,114,5,Data,High,5,Mid,1,85.8,Comprehensive,Standard,High,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,41.0
12930,Medium,84,5,Infrastructure,Medium,13,Junior,0,60.1,Minimal,Standard,High,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,48.58
484859,High,161,6,Infrastructure,Low,4,Junior,1,53.8,Comprehensive,Standard,Medium,Tight,Medium,1,12,60.6,77,5,20.0,28.1,High,Good,Modern,High,Human,32.34
89805,High,165,10,Data,Medium,2,Mid,0,57.4,Minimal,High,High,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,40.29
3562,Low,41,3,Infrastructure,Medium,1,Mid,0,77.5,Standard,High,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,51.34
84664,Medium,108,6,Data,High,10,Mid,1,14.8,Comprehensive,High,High,Tight,Medium,1,15,58.5,54,4,7.63,24.6,Medium,Minimal,Legacy,High,Human,27.65
4460,Low,7,1,Web,Medium,4,Mid,0,63.8,Comprehensive,Standard,Medium,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,50.57
3340,Low,7,1,Web,Medium,2,Mid,0,42.5,Standard,High,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,48.45
157381,High,172,8,Infrastructure,Medium,6,Junior,0,72.9,Comprehensive,Standard,High,Moderate,Low,1,7,64.2,126,0,0.41,0.3,Low,Standard,Current,Medium,Hybrid,39.95
125288,High,194,9,Infrastructure,High,7,Senior,0,45.3,Standard,Standard,Critical,Tight,High,1,14,31.8,44,5,7.95,22.0,High,Good,Modern,Unfamiliar,Human,15.41
181513,High,158,10,Web,Low,4,Senior,1,83.0,Comprehensive,High,High,Tight,Medium,1,18,29.8,61,4,5.97,27.5,High,Poor,Dated,High,Human,17.41
10576,Medium,97,1,Data,Medium,6,Mid,0,68.5,Standard,Real-time,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,47.36
58777,High,206,8,Web,High,5,Junior,0,72.2,Standard,High,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,37.03
10303,Medium,76,5,Web,Low,1,Mid,0,61.3,Standard,Standard,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,47.7
17002,Medium,87,2,Security,Medium,5,Junior,0,53.4,Minimal,High,Critical,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,53.15
173585,High,165,8,Mobile,Medium,6,Mid,0,58.2,Standard,High,Medium,Tight,High,1,15,36.5,92,7,0.75,34.5,High,Good,Modern,Medium,Human,29.96
102013,High,201,9,Infrastructure,Medium,7,Senior,0,41.5,Comprehensive,Standard,Medium,Moderate,High,1,13,30.3,25,5,3.21,48.7,Critical,Poor,Current,High,Human,19.49
20422,Medium,76,4,Infrastructure,Medium,5,Mid,0,61.7,Standard,High,Low,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,42.03
48467,Medium,76,7,Data,High,10,Senior,0,63.8,Standard,Real-time,High,Moderate,Medium,1,18,41.0,114,7,16.62,45.2,High,Standard,Dated,Medium,Hybrid,16.06
378883,High,209,10,Infrastructure,Low,2,Mid,0,61.7,Standard,Standard,High,Flexible,Medium,1,19,41.0,166,8,13.55,41.7,Critical,Poor,Dated,Medium,Human,16.68
46889,High,178,6,Security,Low,5,Senior,1,50.2,Comprehensive,Standard,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,29.21
1454,Low,31,1,Data,High,6,Mid,1,27.3,Minimal,Real-time,High,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,49.39
8977,Medium,92,3,Data,Medium,6,Junior,0,68.7,Standard,Real-time,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,49.37
82011,Medium,128,2,Infrastructure,High,7,Senior,1,70.8,Minimal,High,High,Flexible,High,1,8,54.1,50,1,2.28,6.2,Low,Poor,Dated,High,Human,24.88
45928,High,177,10,Data,Medium,3,Junior,1,85.9,Minimal,Standard,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,48.42
327326,High,145,8,Data,High,9,Mid,0,70.1,Standard,High,Critical,Flexible,High,1,10,46.7,145,6,4.7,13.3,Medium,Good,Current,Low,Human,18.1
49796,High,140,10,Data,Low,1,Junior,1,70.2,Standard,High,Low,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,40.29
83829,Medium,129,2,Infrastructure,Low,5,Senior,1,35.8,Standard,Standard,Critical,Flexible,High,1,14,45.1,83,7,2.39,44.2,High,Poor,Modern,High,Hybrid,20.6
19488,Medium,107,3,Infrastructure,Medium,3,Mid,0,69.2,Standard,Standard,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,41.38
116492,Medium,134,7,Security,Medium,3,Senior,1,82.3,Standard,Real-time,Low,Tight,Medium,1,1,85.0,23,0,3.46,14.8,Low,Standard,Current,Medium,Hybrid,30.42
556,Low,22,1,Data,Critical,5,Senior,1,60.2,Standard,Standard,Medium,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,42.54
2029,Low,50,1,Data,Medium,1,Mid,0,52.7,Comprehensive,Standard,Medium,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,55.42
132258,High,161,10,Security,Medium,6,Junior,1,92.1,Standard,Real-time,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,33.72
11586,Medium,73,5,Web,Medium,5,Mid,0,64.5,Minimal,High,Medium,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,43.48
10744,Medium,87,4,Mobile,Medium,5,Mid,0,83.7,Standard,High,Low,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,43.14
23860,Medium,121,9,Mobile,Medium,2,Mid,0,35.2,Standard,High,High,Tight,Medium,1,6,64.1,86,4,6.2,6.9,Low,Poor,Dated,Medium,Hybrid,35.17
10362,Medium,87,5,Data,Low,3,Junior,1,47.5,Standard,Standard,High,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,47.26
160554,High,198,11,Infrastructure,High,13,Mid,0,75.2,Minimal,High,High,Tight,Medium,1,18,54.4,108,11,1.07,38.1,High,Minimal,Dated,High,Human,24.42
6527,Low,34,1,Infrastructure,Medium,5,Architect,0,79.2,Standard,Standard,High,Tight,Low,1,19,5.2,181,8,17.04,39.3,Critical,Standard,Dated,High,Human,26.96
160407,High,149,7,Infrastructure,High,12,Senior,1,62.4,Standard,High,Low,Flexible,Medium,1,22,36.5,128,7,1.88,30.9,High,Poor,Legacy,Medium,Human,10.45
382323,High,147,7,Infrastructure,Critical,5,Mid,0,64.4,Minimal,High,Critical,Tight,Low,1,11,23.6,95,3,14.27,36.2,High,Standard,Current,Unfamiliar,Human,18.81
165928,High,164,11,Mobile,High,10,Mid,1,58.6,Comprehensive,Real-time,Low,Tight,High,1,6,73.7,93,0,3.64,10.9,Low,Good,Legacy,Medium,Human,27.31
276552,High,162,10,Infrastructure,Medium,2,Mid,0,61.8,Standard,High,Low,Tight,High,1,11,62.8,106,2,5.09,9.0,Medium,Good,Modern,Unfamiliar,Hybrid,28.44
139184,High,136,9,Web,Critical,14,Mid,0,67.9,Minimal,Standard,High,Tight,Medium,1,4,73.1,57,2,0.4,9.6,Low,Standard,Dated,Unfamiliar,Human,30.39
16989,Medium,87,4,Infrastructure,High,5,Junior,0,76.9,Minimal,High,High,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,50.24
16403,Medium,84,3,Data,High,5,Mid,0,71.4,Standard,High,High,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,38.41
35634,Medium,89,7,Data,Medium,7,Senior,1,74.0,Minimal,High,Critical,Moderate,Medium,1,17,63.4,152,3,11.46,35.3,High,Standard,Dated,Low,Human,18.26
386422,High,156,7,Data,Medium,7,Architect,1,10.0,Comprehensive,Standard,Low,Flexible,High,1,15,8.1,118,7,1.85,40.9,Critical,Poor,Dated,High,Human,7.23
158113,High,163,9,Infrastructure,High,5,Mid,1,13.5,Standard,Real-time,Critical,Flexible,High,1,8,51.1,103,3,2.64,25.6,Medium,Minimal,Modern,Low,Human,14.71
6661,Medium,89,1,Mobile,High,11,Senior,0,65.9,Standard,Real-time,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,35.74
278252,High,170,10,Infrastructure,Medium,7,Senior,0,20.0,Comprehensive,Standard,Critical,Flexible,High,1,19,31.3,195,7,2.08,39.9,Critical,Poor,Dated,Medium,Human,5.86
71060,High,202,8,Infrastructure,Low,5,Mid,0,63.7,Minimal,High,Medium,Tight,High,1,14,31.2,135,5,0.83,41.3,High,Minimal,Dated,Medium,Human,34.63
12749,Medium,55,4,Mobile,Medium,3,Mid,1,63.1,Minimal,Standard,Medium,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,45.74
202335,High,175,12,Infrastructure,High,7,Senior,0,40.6,Comprehensive,Standard,Low,Moderate,Medium,1,8,57.0,55,4,5.49,30.5,Medium,Poor,Modern,Low,Human,16.15
2474,Low,8,2,Security,High,7,Senior,1,76.2,Standard,Standard,Low,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,45.01
235439,High,174,6,Web,Critical,15,Senior,0,17.0,Standard,Real-time,High,Tight,Low,1,12,63.3,63,7,1.98,22.8,High,Minimal,Current,Unfamiliar,Human,17.82
71230,Medium,144,1,Security,Medium,9,Senior,0,47.9,Minimal,High,Medium,Flexible,Medium,1,12,77.0,222,3,0.09,23.6,Medium,Poor,Legacy,Low,Human,26.09
4651,Low,7,1,Web,Medium,4,Junior,0,56.0,Comprehensive,Standard,High,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,56.53
13013,Low,14,3,Web,Medium,9,Mid,0,37.4,Standard,Standard,Low,Moderate,High,1,10,34.0,102,9,2.86,28.4,High,Minimal,Current,Unfamiliar,Human,39.96
301339,High,172,13,Infrastructure,High,5,Junior,1,37.1,Minimal,Real-time,Medium,Moderate,Medium,1,24,46.1,74,5,20.0,45.6,Critical,Poor,Dated,Low,Human,16.38
7257,Medium,88,5,Web,Medium,0,Mid,0,79.1,Minimal,Standard,Critical,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,43.27
11529,Medium,124,5,Web,High,9,Senior,1,80.3,Comprehensive,Standard,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,33.59
281905,High,170,7,Web,Medium,5,Junior,0,23.8,Standard,Standard,Medium,Tight,Low,1,9,59.2,82,2,6.12,18.3,Medium,Poor,Modern,High,Hybrid,40.62
27806,Low,14,2,Infrastructure,Low,5,Senior,0,40.6,Standard,Real-time,Medium,Moderate,Low,1,18,68.8,88,8,2.92,48.8,Critical,Standard,Dated,Low,Human,31.7
63023,High,132,7,Web,Low,1,Senior,0,75.0,Minimal,Standard,Low,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,35.28
243292,High,212,5,Infrastructure,Medium,11,Senior,0,57.5,Standard,Real-time,Medium,Flexible,High,1,3,38.8,31,4,2.88,30.6,Medium,Minimal,Current,High,Hybrid,17.5
39643,High,193,9,Data,Medium,3,Senior,0,88.5,Standard,Standard,Medium,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,27.21
43192,High,165,9,Infrastructure,Critical,9,Mid,1,59.1,Minimal,Standard,Medium,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,30.5
131449,Medium,120,6,Web,Low,2,Mid,1,41.9,Minimal,High,Medium,Flexible,Medium,1,5,59.3,35,1,0.02,4.2,Low,Standard,Dated,Low,Hybrid,38.65
1777,Low,37,3,Data,Low,0,Junior,1,78.4,Standard,High,Critical,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,50.25
19260,Low,46,6,Data,Low,1,Senior,1,39.1,Standard,Real-time,High,Moderate,High,1,8,59.4,55,1,0.43,3.1,Low,Minimal,Dated,Medium,Hybrid,34.0
135615,High,177,7,Data,Low,5,Mid,0,54.2,Minimal,High,Critical,Flexible,Medium,1,15,39.5,242,2,7.72,32.1,High,Standard,Modern,Low,Human,22.63
6219,Low,29,1,Web,Medium,5,Senior,0,51.4,Standard,High,Medium,Moderate,Low,1,17,32.2,89,12,16.59,52.5,Critical,Minimal,Modern,High,Human,29.74
14906,Medium,99,5,Mobile,Medium,5,Junior,0,61.4,Comprehensive,Real-time,Low,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,46.0
7282,Medium,97,7,Data,High,3,Mid,0,50.8,Comprehensive,Standard,High,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,41.91
79709,Medium,116,6,Infrastructure,High,14,Mid,0,64.2,Standard,High,High,Moderate,Medium,1,9,48.8,180,2,14.58,17.3,Medium,Minimal,Legacy,Unfamiliar,Human,21.62
2566,Low,19,1,Mobile,Low,3,Senior,0,48.9,Standard,Real-time,Critical,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,47.02
1626,Low,35,1,Infrastructure,Medium,3,Senior,0,57.2,Standard,Standard,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,50.0
53944,Medium,94,7,Web,Medium,5,Mid,0,59.8,Minimal,High,Medium,Tight,Low,1,5,75.5,22,2,0.06,6.2,Low,Good,Dated,Low,Hybrid,42.31
1961,Low,25,2,Security,Medium,4,Junior,0,60.2,Standard,Standard,High,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,61.1
24160,High,137,7,Data,Medium,6,Mid,0,76.9,Standard,Standard,Medium,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,36.35
181349,High,198,7,Infrastructure,High,15,Mid,1,75.0,Standard,Standard,High,Tight,Medium,1,11,44.4,56,4,13.73,30.6,High,Minimal,Modern,Medium,Human,21.18
92408,High,150,7,Data,High,13,Senior,0,65.2,Comprehensive,Standard,Low,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,33.62
43024,Medium,103,5,Mobile,Critical,7,Senior,0,80.8,Standard,Real-time,High,Moderate,High,1,3,64.1,39,2,7.03,15.8,Low,Standard,Modern,High,Human,23.55
1392,Low,22,4,Mobile,High,5,Junior,0,43.8,Standard,Standard,Low,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,58.01
52125,Low,72,4,Web,High,9,Senior,0,38.0,Comprehensive,High,High,Tight,Medium,1,9,62.0,44,3,5.77,19.1,Medium,Standard,Modern,High,Human,34.41
90876,High,179,9,Infrastructure,High,10,Mid,0,37.1,Standard,High,Medium,Flexible,High,1,12,40.8,157,0,16.61,6.8,Medium,Minimal,Modern,High,Human,20.65
2347,Low,26,1,Data,Low,2,Senior,0,75.1,Standard,Standard,High,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,47.97
252903,High,157,8,Web,Medium,8,Mid,0,71.5,Standard,High,Medium,Flexible,High,1,9,28.7,67,4,1.98,35.4,High,Standard,Current,Medium,Human,23.44
24384,Medium,90,6,Web,High,2,Mid,0,71.5,Standard,Standard,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,45.9
113062,High,175,10,Infrastructure,High,12,Senior,1,41.7,Standard,High,High,Tight,High,1,4,82.7,66,0,0.97,10.8,Low,Standard,Modern,Low,Human,19.21
16154,Medium,105,4,Infrastructure,High,6,Senior,1,76.2,Standard,Real-time,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,30.27
6018,Medium,106,3,Security,Medium,1,Mid,0,58.4,Standard,Standard,Medium,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,48.02
10974,Low,61,5,Web,High,10,Architect,1,31.3,Standard,Real-time,High,Moderate,High,1,12,50.9,155,7,8.79,40.0,High,Poor,Modern,Low,Human,14.17
7782,Medium,57,5,Security,Low,3,Senior,1,88.6,Standard,High,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,36.15
252663,High,118,7,Mobile,Medium,11,Mid,0,78.5,Standard,Real-time,Medium,Tight,High,1,7,63.4,75,4,6.47,23.0,Medium,Poor,Modern,High,Hybrid,28.69
7559,Medium,81,1,Infrastructure,High,4,Senior,1,54.4,Comprehensive,High,Low,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,32.71
1127,Low,21,2,Web,Medium,4,Junior,0,34.0,Standard,Standard,High,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,60.11
65252,Medium,108,8,Web,Medium,7,Senior,1,47.4,Standard,Standard,High,Tight,High,1,18,57.6,204,6,8.0,31.4,High,Poor,Legacy,Medium,Human,20.0
58462,High,144,9,Data,Low,1,Junior,0,71.2,Standard,High,Medium,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,49.71
2122,Low,22,1,Infrastructure,Medium,0,Senior,0,45.2,Standard,Standard,Medium,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,49.98
14059,Low,35,3,Infrastructure,Critical,16,Senior,0,16.6,Minimal,Real-time,High,Moderate,Medium,1,11,50.2,232,4,7.1,36.7,High,Standard,Modern,Low,Human,27.37
138121,High,170,11,Web,Medium,13,Mid,0,59.6,Standard,Standard,High,Moderate,Medium,1,11,42.9,114,3,3.39,34.7,High,Standard,Dated,Medium,AI,26.07
104266,Medium,111,8,Infrastructure,Medium,6,Mid,0,26.5,Minimal,High,High,Tight,High,1,6,46.5,85,9,4.01,23.0,High,Poor,Current,Medium,Hybrid,34.53
222901,High,147,9,Infrastructure,High,11,Senior,0,47.1,Comprehensive,High,Medium,Tight,Medium,1,5,61.7,38,1,1.48,30.0,Medium,Standard,Modern,High,Hybrid,23.28
169471,Medium,121,5,Security,Medium,2,Senior,1,55.8,Standard,High,Medium,Moderate,Medium,1,16,34.0,68,6,18.69,34.8,High,Minimal,Dated,High,Human,17.04
1700,Low,54,1,Security,High,3,Senior,1,51.9,Standard,Standard,High,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,39.33
253044,High,204,5,Security,Low,3,Mid,0,67.3,Standard,High,High,Tight,Medium,1,15,34.2,262,4,2.2,40.6,High,Poor,Dated,Unfamiliar,Hybrid,26.63
7690,Low,21,2,Security,High,16,Junior,1,32.3,Standard,Real-time,High,Moderate,High,1,9,34.7,95,5,4.33,37.6,High,Standard,Current,Medium,Human,38.07
27106,High,122,10,Data,Medium,3,Senior,1,58.4,Standard,Standard,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,33.04
